Iterations: 1000
Passes: 988
fails: 12
errors: 0

<Result> 	 <ResultType> 	 <Time of injection> 	 <Injected core> 	 <Injected register> 
543	false	0	985198	2	r9
544	false	0	1428097	6	rdx
545	false	0	749898	9	rcx
546	false	0	481844	4	r12
547	false	0	1495469	0	rsp
548	false	0	1254158	4	rsp
549	false	0	298885	6	rsp
550	false	0	298885	6	r12
551	false	0	1076574	3	r11
552	false	0	1049705	7	rbp
553	false	0	1862257	3	rdx
554	false	0	1137822	1	r10
555	false	0	718852	2	r11
556	false	0	1199839	5	r14
557	false	0	396860	3	r9
558	false	0	971593	1	rbx
559	false	0	1297594	9	r15
560	false	0	1794989	0	r14
561	false	0	24883	8	r14
562	false	0	531585	6	rbp
563	false	0	1474411	6	rdx
564	false	0	516114	9	r8
565	false	0	1323878	9	rbx
566	false	0	398281	5	rbp
567	false	0	1851312	4	rsp
568	false	0	162126	0	rsp
569	false	0	256490	3	rcx
570	false	0	1226779	1	rsp
571	false	0	1599094	4	r10
572	false	0	1787745	0	r14
573	false	0	1248344	8	rsi
574	false	0	1552710	6	r10
575	false	0	1234618	2	r15
576	false	0	207140	7	rdx
577	false	0	1572393	9	r13
578	false	0	814385	0	r10
579	false	0	1220381	0	r8
580	false	0	1771090	8	r12
581	false	0	1249457	4	r11
582	false	0	1410527	7	rsi
583	false	0	1043468	0	rcx
584	false	0	1578318	1	rbx
585	false	0	1885690	9	rax
586	false	0	1889440	2	rdx
587	false	0	918804	1	r8
588	false	0	1647445	3	r8
589	false	0	285737	2	rsp
590	false	0	1747646	8	r9
591	false	0	1154042	5	r8
592	false	0	785934	1	r9
593	false	0	1701433	9	rbp
594	false	0	1146665	5	r15
595	false	0	488861	0	r10
596	false	0	473873	3	rsi
597	false	0	818642	2	rsi
598	false	0	1266610	2	r14
599	false	0	1164067	2	rdx
600	false	0	24680	1	r13
601	false	0	313361	1	rbx
602	false	0	1408364	5	r13
603	false	0	1191184	4	r9
604	false	0	340815	7	rbx
605	false	0	1627982	6	r12
606	false	0	1790118	4	rdx
607	false	0	1409245	5	r14
608	false	0	839910	3	rax
609	false	0	1714910	4	rax
610	false	0	1916897	0	rdx
611	false	0	1648625	5	rbx
612	false	0	965446	0	r10
613	false	0	1224316	7	rbp
614	false	0	897329	4	rax
615	false	0	730020	8	r8
616	false	0	1900328	6	rsp
617	false	0	1367849	2	rcx
618	false	0	1166952	1	rsi
619	false	0	1252206	4	r14
620	false	0	1001351	1	rbp
621	false	0	1889349	1	r12
622	false	0	1677699	4	r15
623	false	0	982176	1	rsi
624	false	0	485110	4	rbp
625	false	0	1034626	5	r12
626	false	0	295552	8	r12
627	false	0	1706761	6	r12
628	false	0	636926	2	r13
629	false	0	1833484	9	r12
630	false	0	719659	0	rax
631	false	0	195380	7	r12
632	false	0	1798685	7	rdx
633	false	0	179341	3	r8
634	false	0	833650	8	rdx
635	false	0	72073	4	rcx
636	false	0	685621	0	rax
637	false	0	17207	3	r11
638	false	0	1793519	8	r9
639	false	0	879444	7	rbx
640	false	0	918085	8	r9
641	false	0	176683	9	r14
642	false	0	248271	9	rbp
643	false	0	974054	8	rcx
644	false	0	965324	8	rbp
645	false	0	1035516	5	rax
646	false	0	1687408	6	r8
647	false	0	1490964	8	rax
648	false	0	641595	6	rbp
649	false	0	1724922	2	rbp
650	false	0	368060	3	r11
651	false	0	1251008	2	rsi
652	false	0	1051459	2	rdx
653	false	0	1469594	8	rbp
654	false	0	222773	9	rbx
655	false	0	275394	9	rdi
656	false	0	437138	9	r11
657	false	0	1325319	2	rsi
658	false	0	1153063	0	r15
659	false	0	1735690	1	r9
660	false	0	684053	7	rcx
661	false	0	1134146	9	r9
662	false	0	225330	4	rbp
663	false	0	598147	4	rsi
664	false	0	885077	4	rbx
665	false	0	700082	4	r10
666	false	0	1554658	0	r8
667	false	0	55724	4	r8
668	false	0	728307	9	rdi
669	false	0	97850	1	rbp
670	false	0	1013160	6	r8
671	false	0	1562914	5	rdi
672	false	0	968350	1	r14
673	false	0	504340	6	r8
674	false	0	933496	4	r12
675	false	0	303290	8	r10
676	false	0	1423354	2	rbx
677	false	0	975312	4	r14
678	false	0	1075595	4	rsp
679	false	0	863058	6	rsp
680	false	0	853217	0	r8
681	false	0	1694232	9	rdi
682	false	0	1158050	1	r14
683	false	0	1271098	4	rax
684	false	0	182342	2	r9
685	false	0	1328924	9	r11
686	false	0	26484	1	rdx
687	false	0	1517770	3	r14
688	false	0	1563003	0	r15
689	false	0	1140474	1	rcx
690	false	0	729005	2	rsi
691	false	0	328866	4	rbx
692	false	0	1317822	6	rdx
693	false	0	1039851	9	rdx
694	false	0	918830	1	rcx
695	false	0	1814011	2	rdx
696	false	0	421620	9	r10
697	false	0	919692	7	rdi
698	false	0	1042464	2	rbp
699	false	0	980061	3	rdx
700	false	0	1037041	4	rdi
701	false	0	1244528	6	r8
702	false	0	285053	0	r14
703	false	0	283349	2	r14
704	false	0	1364503	5	rsi
705	false	0	645398	4	rsp
706	false	0	1328531	0	rdi
707	false	0	657660	1	rsi
708	false	0	268131	0	rsi
709	false	0	1376216	4	r10
710	false	0	400554	8	rsp
711	false	0	1455530	6	rsi
712	false	0	1421536	0	r11
713	false	0	382032	5	r13
714	false	0	155081	6	r8
715	false	0	1497876	8	r9
716	false	0	644129	5	rdx
717	false	0	1139413	3	rsi
718	false	0	1059929	8	rbp
719	false	0	393503	1	rdx
720	false	0	573310	5	r10
721	false	0	1001185	6	r8
722	false	0	1593570	4	rdx
723	false	0	315905	0	r10
724	false	0	1200496	8	r8
725	false	0	1846607	2	rcx
726	false	0	669623	0	rsp
727	false	0	1593342	6	rbx
728	false	0	769714	9	r9
729	false	0	132694	6	rsp
730	false	0	132694	6	rdx
731	false	0	531623	6	rbp
732	false	0	761248	2	r13
733	false	0	401311	7	rcx
734	false	0	1008163	0	r10
735	false	0	34534	2	r8
736	false	0	1291173	6	r14
737	false	0	895299	0	rbx
738	false	0	1702652	5	rdx
739	false	0	97232	2	r10
740	false	0	97232	2	r10
741	false	0	97232	2	r10
742	false	0	97232	2	r15
743	false	0	342686	9	rax
744	false	0	1223631	2	r15
745	false	0	307526	7	r12
746	false	0	1817707	5	r14
747	false	0	1624243	0	rax
748	false	0	129662	2	r9
